"","CAMPUS","GRDTYPE","value","n.d.r","year","subject","demographics"
"1",57905001,"S",1379,"D","16","AR010","CA00"
"2",57905002,"S",1134,"D","16","AR010","CA00"
"3",57905003,"S",285,"D","16","AR010","CA00"
"4",57905005,"S",1545,"D","16","AR010","CA00"
"5",57905006,"S",741,"D","16","AR010","CA00"
"6",57905007,"S",1446,"D","16","AR010","CA00"
"7",57905008,"S",1208,"D","16","AR010","CA00"
"8",57905009,"S",428,"D","16","AR010","CA00"
"9",57905011,"M",0,"D","16","AR010","CA00"
"10",57905012,"S",769,"D","16","AR010","CA00"
"11",57905013,"S",525,"D","16","AR010","CA00"
"12",57905014,"S",1409,"D","16","AR010","CA00"
"13",57905015,"S",1071,"D","16","AR010","CA00"
"14",57905016,"S",1112,"D","16","AR010","CA00"
"15",57905017,"S",1392,"D","16","AR010","CA00"
"16",57905018,"S",1541,"D","16","AR010","CA00"
"17",57905021,"S",1604,"D","16","AR010","CA00"
"18",57905022,"S",1150,"D","16","AR010","CA00"
"19",57905023,"S",826,"D","16","AR010","CA00"
"20",57905024,"S",974,"D","16","AR010","CA00"
"21",57905025,"S",3188,"D","16","AR010","CA00"
"22",57905026,"S",216,"D","16","AR010","CA00"
"23",57905028,"S",916,"D","16","AR010","CA00"
"24",57905029,"S",0,"D","16","AR010","CA00"
"25",57905030,"S",NA,"D","16","AR010","CA00"
"26",57905032,"S",381,"D","16","AR010","CA00"
"27",57905033,"S",282,"D","16","AR010","CA00"
"28",57905034,"S",451,"D","16","AR010","CA00"
"29",57905035,"S",146,"D","16","AR010","CA00"
"30",57905036,"S",283,"D","16","AR010","CA00"
"31",57905037,"S",181,"D","16","AR010","CA00"
"32",57905038,"S",196,"D","16","AR010","CA00"
"33",57905039,"S",134,"D","16","AR010","CA00"
"34",57905042,"M",631,"D","16","AR010","CA00"
"35",57905043,"M",743,"D","16","AR010","CA00"
"36",57905044,"M",527,"D","16","AR010","CA00"
"37",57905045,"M",834,"D","16","AR010","CA00"
"38",57905046,"M",751,"D","16","AR010","CA00"
"39",57905047,"M",873,"D","16","AR010","CA00"
"40",57905048,"M",916,"D","16","AR010","CA00"
"41",57905049,"M",1459,"D","16","AR010","CA00"
"42",57905050,"M",941,"D","16","AR010","CA00"
"43",57905051,"M",623,"D","16","AR010","CA00"
"44",57905052,"M",954,"D","16","AR010","CA00"
"45",57905053,"M",1234,"D","16","AR010","CA00"
"46",57905054,"M",902,"D","16","AR010","CA00"
"47",57905055,"M",510,"D","16","AR010","CA00"
"48",57905056,"M",682,"D","16","AR010","CA00"
"49",57905057,"M",273,"D","16","AR010","CA00"
"50",57905058,"M",758,"D","16","AR010","CA00"
"51",57905059,"M",1212,"D","16","AR010","CA00"
